produit_id,produit_category_name,prix,produit_weight_g,produit_length_cm,produit_height_cm,produit_width_cm
1,perfumery,287.0,225.0,16.0,10.0,14.0
2,art,276.0,1000.0,30.0,18.0,20.0
3,sports_leisure,250.0,154.0,18.0,9.0,15.0
4,baby,261.0,371.0,26.0,4.0,26.0
5,housewares,402.0,625.0,20.0,17.0,13.0
6,musical_instruments,745.0,200.0,38.0,5.0,11.0
7,cool_stuff,1272.0,18350.0,70.0,24.0,44.0
8,furniture_decor,184.0,900.0,40.0,8.0,40.0
9,home_appliances,163.0,400.0,27.0,13.0,17.0
10,toys,1156.0,600.0,17.0,10.0,12.0
11,bed_bath_table,630.0,1100.0,16.0,10.0,16.0
12,construction_tools_safety,1602.0,200.0,17.0,7.0,17.0
13,computers_accessories,636.0,900.0,40.0,15.0,20.0
14,health_beauty,1987.0,75.0,21.0,7.0,13.0
15,luggage_accessories,573.0,3600.0,35.0,25.0,50.0
16,garden_tools,1163.0,2150.0,70.0,8.0,34.0
17,office_furniture,476.0,8950.0,52.0,51.0,17.0
18,auto,1062.0,6000.0,87.0,3.0,42.0
19,electronics,806.0,263.0,18.0,12.0,16.0
20,fashion_shoes,402.0,2000.0,32.0,12.0,37.0
21,telephony,427.0,100.0,19.0,3.0,11.0
22,stationery,488.0,1400.0,38.0,40.0,39.0
23,fashion_bags_accessories,554.0,100.0,16.0,5.0,11.0
24,computers,1067.0,12000.0,27.0,50.0,53.0
25,home_construction,1441.0,10000.0,60.0,25.0,25.0
26,watches_gifts,489.0,250.0,16.0,11.0,11.0
27,construction_tools_construction,339.0,4800.0,25.0,8.0,25.0
28,pet_shop,463.0,700.0,40.0,20.0,20.0
29,small_appliances,587.0,350.0,20.0,20.0,20.0
30,agro_industry_and_commerce,430.0,16400.0,63.0,66.0,56.0
31,Series,650.0,17.0,14.0,12.0
32,furniture_living_room,312.0,6050.0,55.0,10.0,46.0
33,signaling_and_security,1212.0,450.0,16.0,5.0,16.0
34,air_conditioning,547.0,2000.0,32.0,51.0,16.0
35,consoles_games,303.0,250.0,21.0,7.0,15.0
36,books_general_interest,2913.0,1000.0,24.0,5.0,17.0
37,costruction_tools_tools,369.0,400.0,16.0,2.0,11.0
38,fashion_underwear_beach,422.0,250.0,36.0,4.0,20.0
39,fashion_male_clothing,1026.0,950.0,40.0,6.0,40.0
40,kitchen_dining_laundry_garden_furniture,859.0,10893.0,33.0,88.0,44.0
41,industry_commerce_and_business,1058.0,1200.0,30.0,20.0,30.0
42,fixed_telephony,1217.0,455.0,36.0,18.0,27.0
43,construction_tools_lights,919.0,540.0,16.0,27.0,16.0
44,books_technical,1162.0,1100.0,29.0,3.0,21.0
45,home_appliances_2,2030.0,13200.0,66.0,19.0,67.0
46,party_supplies,134.0,1300.0,70.0,11.0,11.0
47,drinks,497.0,200.0,20.0,9.0,14.0
48,market_place,257.0,2150.0,40.0,25.0,30.0
49,la_cuisine,232.0,7600.0,55.0,15.0,55.0
50,costruction_tools_garden,749.0,9500.0,56.0,30.0,28.0
51,fashio_female_clothing,754.0,500.0,16.0,2.0,11.0
52,home_confort,200.0,450.0,45.0,15.0,35.0
53,audio,1046.0,675.0,22.0,9.0,16.0
54,food_drink,1322.0,1350.0,18.0,17.0,16.0
55,music,364.0,100.0,24.0,11.0,16.0
56,food,911.0,3350.0,20.0,21.0,20.0
57,tablets_printing_image,547.0,300.0,26.0,3.0,26.0
58,books_imported,1071.0,1300.0,29.0,9.0,18.0
59,small_appliances_home_oven_and_coffee,490.0,225.0,18.0,18.0,16.0
60,fashion_sport,511.0,200.0,16.0,12.0,12.0
61,christmas_supplies,298.0,4200.0,40.0,35.0,40.0
62,fashion_childrens_clothes,327.0,300.0,30.0,20.0,20.0
63,dvds_blu_ray,593.0,200.0,20.0,2.0,14.0
64,arts_and_craftmanship,746.0,6850.0,105.0,5.0,65.0
65,furniture_bedroom,750.0,16300.0,65.0,35.0,35.0
66,cine_photo,2069.0,150.0,16.0,8.0,11.0
67,diapers_and_hygiene,1151.0,700.0,35.0,7.0,29.0
68,flowers,130.0,450.0,30.0,15.0,20.0
69,home_comfort_2,191.0,663.0,20.0,20.0,20.0
70,security_and_services,461.0,400.0,26.0,22.0,11.0
71,furniture_mattress_and_upholstery,2073.0,1850.0,41.0,21.0,21.0
72,cds_dvds_musicals,117.0,550.0,35.0,15.0,25.0
