id_service,id_product,id_client,id_employe,quantite,avis,date_service
1,52,21861,39,2,5,01/05/2017 00:38:16
2,64,29043,63,9,3,01/05/2017 00:57:48
3,71,3778,47,8,5,01/05/2017 01:46:26
4,30,11970,47,4,5,01/05/2017 01:55:09
5,31,28451,43,5,1,01/05/2017 02:16:11
6,46,7896,34,1,3,01/05/2017 03:25:29
7,20,29344,52,3,1,01/05/2017 03:34:44
8,13,9966,36,7,3,01/05/2017 05:29:15
9,40,27254,61,9,1,01/05/2017 07:07:34
10,8,8458,61,6,4,01/05/2017 08:21:15
11,29,18753,50,3,2,01/05/2017 10:25:33
12,52,15731,67,6,4,01/05/2017 11:16:23
13,54,26156,51,5,2,01/05/2017 12:08:51
14,46,22234,47,8,3,01/05/2017 12:43:43
15,24,19293,53,7,3,01/05/2017 13:00:45
16,17,2811,51,8,3,01/05/2017 14:04:01
17,35,11584,48,7,1,01/05/2017 14:22:56
18,21,6917,40,5,5,01/05/2017 14:24:55
19,25,6940,54,3,1,01/05/2017 15:14:37
20,1,28391,39,2,1,01/05/2017 15:26:11
21,20,2569,49,2,2,01/05/2017 16:43:06
22,53,25687,37,5,3,01/05/2017 16:46:08
23,65,24714,49,4,5,01/05/2017 18:03:07
24,16,15458,43,3,3,01/05/2017 18:39:57
25,63,23977,56,2,5,01/05/2017 18:46:40
26,23,17676,44,2,1,01/05/2017 19:36:56
27,6,12263,44,4,4,01/05/2017 20:03:42
28,23,6284,42,8,3,01/05/2017 20:22:57
29,52,2694,50,8,4,01/05/2017 20:37:18
30,4,229,61,1,4,01/05/2017 21:00:40
31,13,21229,57,2,4,01/05/2017 21:15:25
32,2,9839,61,2,3,01/05/2017 21:21:05
33,29,28835,64,8,3,01/05/2017 21:42:21
34,31,18737,51,6,4,01/05/2017 21:48:56
35,31,623,55,5,2,01/05/2017 22:27:08
36,61,16662,64,2,3,01/05/2017 23:05:03
37,32,14200,46,4,5,01/05/2017 23:24:04
38,52,22075,45,7,3,01/05/2017 23:30:32
39,21,7439,43,4,1,01/05/2017 23:34:39
40,55,24988,40,8,1,01/05/2017 23:47:38
41,56,19555,46,4,1,02/05/2017 00:00:43
42,25,11975,56,7,5,02/05/2017 01:20:46
43,18,26738,42,7,4,02/05/2017 01:26:57
44,30,9340,40,2,5,02/05/2017 02:29:57
45,56,19093,53,2,3,02/05/2017 02:42:59
46,13,25871,55,7,3,02/05/2017 05:02:01
47,64,29339,55,3,2,02/05/2017 05:14:38
48,53,5754,63,7,1,02/05/2017 05:46:13
49,5,15439,44,3,4,02/05/2017 05:52:56
50,68,1240,40,8,3,02/05/2017 07:29:10
51,5,23018,41,9,1,02/05/2017 08:10:44
52,58,17534,67,4,3,02/05/2017 08:18:38
53,52,7537,50,5,5,02/05/2017 08:32:43
54,19,17637,62,8,5,02/05/2017 08:47:32
55,62,9964,52,6,3,02/05/2017 08:52:39
56,39,2928,36,1,1,02/05/2017 15:52:15
57,36,17045,46,7,2,02/05/2017 16:07:56
58,64,12465,67,1,3,02/05/2017 16:35:57
59,69,1427,40,1,5,02/05/2017 17:05:24
60,71,13604,65,6,5,02/05/2017 17:11:00
61,16,18763,56,1,3,02/05/2017 17:21:37
62,64,4488,56,2,2,02/05/2017 17:23:48
63,10,16616,37,8,1,02/05/2017 21:02:55
64,25,15063,40,4,2,02/05/2017 21:47:56
65,44,11605,41,5,5,02/05/2017 21:53:07
66,5,28428,41,1,2,02/05/2017 22:20:34
67,2,14098,35,6,4,03/05/2017 00:08:56
68,9,3755,37,1,2,03/05/2017 00:38:17
69,44,4281,40,8,5,03/05/2017 00:51:02
70,56,3397,66,8,5,03/05/2017 00:55:17
71,67,3881,51,7,3,03/05/2017 02:08:25
72,42,11055,45,6,3,03/05/2017 02:45:57
73,42,23373,52,8,5,03/05/2017 02:57:22
74,71,5524,61,6,2,03/05/2017 03:32:03
75,14,23444,54,9,4,03/05/2017 06:38:29
76,31,3494,46,5,3,03/05/2017 07:37:45
77,69,16425,41,8,4,03/05/2017 08:03:43
78,36,18731,65,9,5,03/05/2017 08:27:01
79,41,21388,46,1,4,03/05/2017 09:00:13
80,46,25481,47,4,2,03/05/2017 10:42:08
81,8,25137,40,5,2,03/05/2017 12:02:45
82,48,20792,45,2,4,03/05/2017 12:57:18
83,26,19106,40,2,5,03/05/2017 13:17:10
84,2,5821,60,5,3,03/05/2017 14:12:55
85,69,14789,58,8,3,03/05/2017 14:23:27
86,13,17855,67,3,1,03/05/2017 15:31:15
87,51,11770,67,4,2,03/05/2017 15:39:22
88,15,14736,61,5,3,03/05/2017 16:08:02
89,48,27110,50,3,5,03/05/2017 16:42:46
90,6,18278,57,7,3,03/05/2017 16:55:22
91,68,22224,41,1,1,03/05/2017 19:53:34
92,32,21151,54,8,1,03/05/2017 21:33:13
93,6,11921,65,3,4,03/05/2017 22:20:47
94,9,15456,59,2,5,03/05/2017 22:44:05
95,26,752,48,4,4,03/05/2017 23:19:53
96,68,7216,35,2,5,04/05/2017 00:23:52
97,58,11329,38,6,3,04/05/2017 01:29:36
98,36,16549,46,6,4,04/05/2017 01:53:51
99,20,28141,65,5,5,04/05/2017 02:21:36
100,43,19534,54,3,5,04/05/2017 04:01:14
101,57,5662,41,5,5,04/05/2017 04:12:27
102,11,16074,62,1,1,04/05/2017 05:27:29
103,59,25712,65,3,1,04/05/2017 06:03:05
104,61,25859,60,9,3,04/05/2017 06:26:30
105,42,783,67,8,2,04/05/2017 07:09:29
106,30,11335,62,7,2,04/05/2017 07:11:24
107,35,5161,46,6,4,04/05/2017 08:15:16
108,47,27851,66,4,1,04/05/2017 11:51:41
