(All),id_produit,catégorie,prix,weight_g,length_cm,height_cm,width_cm,(All),mois,trimestre,annee,moyenne chiffre d'affaire,chiffre d'affaire,nombre de ventes,
All Produits,1,perfumery,287,225,16,10,14,All Dates,1,1,2018,"1 387,167",16 646,12,
,,,,,,,,,,,2019,1 722,17 220,10,
,,,,,,,,,2,1,2018,"1 757,875",14 063,8,
,,,,,,,,,,,2019,"1 578,5",15 785,10,
,,,,,,,,,3,1,2018,"1 607,2",8 036,5,
,,,,,,,,,,,2019,"1 894,2",18 942,10,
,,,,,,,,,,2,2018,2 296,2 296,1,
,,,,,,,,,,,2019,"1 004,5",2 009,2,
,,,,,,,,,4,2,2018,1 722,20 664,12,
,,,,,,,,,,,2019,"1 179,889",10 619,9,
,,,,,,,,,5,2,2017,"1 690,111",15 211,9,
,,,,,,,,,,,2018,"1 578,5",9 471,6,
,,,,,,,,,,,2019,1 763,12 341,7,
,,,,,,,,,6,2,2017,"1 513,273",16 646,11,
,,,,,,,,,,,2018,"1 779,4",8 897,5,
,,,,,,,,,,,2019,"975,8",4 879,5,
,,,,,,,,,,3,2017,287,287,1,
,,,,,,,,,,,2018,"1 626,333",4 879,3,
,,,,,,,,,,,2019,,,,
,,,,,,,,,7,3,2017,"1 243,667",11 193,9,
,,,,,,,,,,,2018,"1 757,875",14 063,8,
,,,,,,,,,,,2019,1 804,25 256,14,
,,,,,,,,,8,3,2017,"1 052,333",6 314,6,
,,,,,,,,,,,2018,"1 243,667",14 924,12,
,,,,,,,,,,,2019,1 148,9 184,8,
,,,,,,,,,9,3,2017,1 148,3 444,3,
,,,,,,,,,,,2018,"358,75",1 435,4,
,,,,,,,,,,,2019,"1 112,125",8 897,8,
,,,,,,,,,,4,2017,574,1 148,2,
,,,,,,,,,,,2018,"1 913,333",5 740,3,
,,,,,,,,,,,2019,,,,
,,,,,,,,,10,4,2017,"1 496,5",20 951,14,
,,,,,,,,,,,2018,"1 492,4",7 462,5,
,,,,,,,,,,,2019,"1 565,455",17 220,11,
,,,,,,,,,11,4,2017,1 722,8 610,5,
,,,,,,,,,,,2018,"975,8",9 758,10,
,,,,,,,,,,,2019,"1 695,909",18 655,11,
,,,,,,,,,12,1,2017,574,574,1,
,,,,,,,,,,,2018,1 722,3 444,2,
,,,,,,,,,,4,2017,"1 578,5",18 942,12,
,,,,,,,,,,,2018,"1 463,7",14 637,10,
,,,,,,,,,,,2019,"2 104,667",6 314,3,
,2,art,276,1000,30,18,20,All Dates,1,1,2018,"1 328,25",21 252,16,
,,,,,,,,,,,2019,1 725,13 800,8,
,,,,,,,,,2,1,2018,1 288,15 456,12,
,,,,,,,,,,,2019,1 472,17 664,12,
,,,,,,,,,3,1,2018,"1 349,333",12 144,9,
,,,,,,,,,,,2019,"1 165,333",10 488,9,
,,,,,,,,,,2,2018,1 932,3 864,2,
,,,,,,,,,,,2019,1 564,4 692,3,
,,,,,,,,,4,2,2018,"1 507,385",19 596,13,
,,,,,,,,,,,2019,"1 131,6",11 316,10,
