,id_produit,catégorie,prix,weight_g,length_cm,height_cm,width_cm,mois,trimestre,annee,moyenne chiffre d'affaire,chiffre d'affaire,nombre de ventes
0,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,1.0,1.0,2018,"1 387,167",16 646,12.0
1,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,1.0,1.0,2019,1 722,17 220,10.0
2,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,2.0,1.0,2018,"1 757,875",14 063,8.0
3,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,2.0,1.0,2019,"1 578,5",15 785,10.0
4,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,3.0,1.0,2018,"1 607,2",8 036,5.0
5,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,3.0,1.0,2019,"1 894,2",18 942,10.0
6,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,3.0,2.0,2018,2 296,2 296,1.0
7,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,3.0,2.0,2019,"1 004,5",2 009,2.0
8,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,4.0,2.0,2018,1 722,20 664,12.0
9,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,4.0,2.0,2019,"1 179,889",10 619,9.0
10,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,5.0,2.0,2017,"1 690,111",15 211,9.0
11,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,5.0,2.0,2018,"1 578,5",9 471,6.0
12,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,5.0,2.0,2019,1 763,12 341,7.0
13,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,6.0,2.0,2017,"1 513,273",16 646,11.0
14,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,6.0,2.0,2018,"1 779,4",8 897,5.0
15,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,6.0,2.0,2019,"975,8",4 879,5.0
16,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,6.0,3.0,2017,287,287,1.0
17,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,6.0,3.0,2018,"1 626,333",4 879,3.0
18,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,6.0,3.0,2019,0,0,0
19,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,7.0,3.0,2017,"1 243,667",11 193,9.0
20,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,7.0,3.0,2018,"1 757,875",14 063,8.0
21,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,7.0,3.0,2019,1 804,25 256,14.0
22,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,8.0,3.0,2017,"1 052,333",6 314,6.0
23,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,8.0,3.0,2018,"1 243,667",14 924,12.0
24,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,8.0,3.0,2019,1 148,9 184,8.0
25,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,9.0,3.0,2017,1 148,3 444,3.0
26,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,9.0,3.0,2018,"358,75",1 435,4.0
27,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,9.0,3.0,2019,"1 112,125",8 897,8.0
28,1.0,perfumery,287.0,225.0,16.0,10.0,14.0,9.0,4.0,2017,574,1 148,2.0
